Point-ID	East	North	Height
200370016	3513459.157	5405284.422	245.257
200370052	3513594.621	5405213.610	242.787
200370055	3513407.398	5405298.580	248.841
202300048	3513481.851	5405254.980	242.086
202300049	3513516.907	5405235.889	242.076
202300051	3513569.231	5405230.303	244.547
001OKFB	3513445.434	5405283.834	241.138
002OKFB	3513454.197	5405278.578	241.166
003OKFB	3513451.610	5405274.115	241.225
004OKFB	3513458.449	5405270.378	241.227
005OKFB	3513458.932	5405275.309	241.204
006OKFB	3513464.460	5405272.525	241.199
007OKFB	3513469.744	5405269.640	241.193
008OKFB	3513467.917	5405268.692	241.228
009H	3513460.815	5405268.340	241.247
010OKFB	3513472.622	5405265.830	241.236
011OKFB	3513472.611	5405265.834	241.236
012OKFB	3513480.229	5405261.612	241.227
013OKFB	3513478.736	5405258.823	241.280
014OKFB	3513487.732	5405253.989	241.376
015OKFB	3513494.443	5405250.754	241.324
016OKFB	3513513.153	5405240.388	241.313
017OKFB	3513517.391	5405238.908	241.278
018OKFB	3513523.190	5405235.384	241.268
019OKFB	3513523.264	5405238.454	241.214
020OKFB	3513515.028	5405242.941	241.222
021OKFB	3513506.374	5405247.647	241.224
022OKFB	3513505.059	5405245.635	241.321
023OKFB	3513499.400	5405248.784	241.283
024OKFB	3513500.786	5405250.679	241.222
025OKFB	3513494.185	5405254.262	241.251
026OKFB	3513487.836	5405258.457	241.268
027OKFB	3513479.993	5405263.717	241.206
028OKFB	3513442.036	5405286.304	241.128
029OKFB	3513435.456	5405289.810	241.152
030OKFB	3513429.418	5405293.124	241.185
031OKFB	3513424.212	5405295.944	241.208
032OKFB	3513418.912	5405299.464	241.246
033OKFB	3513416.171	5405302.606	241.294
034OKFB	3513414.796	5405303.833	241.319
035OKFB	3513417.439	5405305.953	241.241
036OKFB	3513421.389	5405303.594	241.160
037OKFB	3513426.260	5405300.835	241.141
038OKFB	3513431.278	5405297.771	241.145
039OKFB	3513434.070	5405296.098	241.130
040OKFB	3513419.412	5405300.410	241.228
041OKFB	3513439.695	5405292.066	241.111
042OKFB	3513448.561	5405287.021	241.102
043DECKEL	3513451.714	5405284.136	241.109
044DECKEL	3513491.642	5405257.179	241.226
045DECKEL	3513490.952	5405257.550	241.226
046DECKEL	3513490.214	5405256.175	241.252
200370055S	3513407.394	5405298.583	248.840
047DECKEL	3513504.188	5405255.961	241.082
048DECKEL	3513497.468	5405259.410	241.068
049DECKEL	3513494.493	5405260.995	241.082
050DECKEL	3513492.244	5405262.045	241.111
051DECKEL	3513491.072	5405261.293	241.130
052DECKEL	3513488.817	5405262.418	241.148
053DECKEL	3513482.062	5405266.109	241.119
054DECKEL	3513474.711	5405270.101	241.073
055DECKEL	3513470.579	5405272.623	241.081
056DECKEL	3513462.567	5405276.987	241.115
057DECKEL	3513459.721	5405278.433	241.116
058DECKEL	3513520.520	5405255.372	240.940
