# for File 1 - Point-ID     Hz           V       Distance    Ref.H
             200370016        336.9697      95.7813      40.779       0.240
             200370055        325.6036      95.6873      93.434       0.290
             202300048        264.2936     103.3726      13.389       0.000
             202300049        153.1534     101.2957      35.362       0.000
             001OKFB          327.2025      99.5199      52.460       2.053
             002OKFB          325.4697      99.3636      42.323       2.053
             003OKFB          317.9224      99.2905      43.272       2.053
             004OKFB          314.9075      99.1362      35.704       2.053
             005OKFB          323.4470      99.1992      36.708       2.053
             006OKFB          322.1815      99.0499      30.555       2.053
             007OKFB          319.8328      98.8350      24.621       2.053
             008OKFB          316.2659      98.8174      26.111       2.053
             009H             312.1379      99.0257      32.962       2.053
             010OKFB          311.4451      98.4956      20.896       2.053
             011OKFB          311.4517      98.4963      20.908       2.053
             012OKFB          297.6310      97.6206      12.965       2.053
             013OKFB          285.8156      97.6907      14.815       2.053
             014OKFB          237.6498      95.8747       9.784       2.053
             015OKFB          192.9142      96.7598      11.426       2.053
             016OKFB          152.6391      98.7686      29.505       2.053
             017OKFB          148.6191      98.9829      33.530       2.053
             018OKFB          146.2959      99.1681      40.181       2.053
             019OKFB          142.3958      99.2150      38.267       2.053
             020OKFB          145.8144      98.9496      29.062       2.053
             021OKFB          152.8734      98.4324      19.574       2.053
             022OKFB          160.1902      98.1876      20.309       2.053
             023OKFB          172.1527      97.6601      14.703       2.053
             024OKFB          162.5679      97.7772      13.728       2.053
             025OKFB          191.8435      95.9036       7.913       2.053
             026OKFB          261.9370      94.8316       6.482       2.053
             027OKFB          307.7974      97.7808      13.290       2.053
             028OKFB          328.1475      99.5658      56.582       2.053
             029OKFB          328.4992      99.5931      64.031       2.053
             030OKFB          328.8350      99.6027      70.909       2.053
             031OKFB          329.0484      99.6150      76.825       2.053
             032OKFB          329.6793      99.6143      83.138       2.053
             033OKFB          330.8313      99.5968      87.013       2.053
             034OKFB          331.1510      99.5868      88.802       2.053
             035OKFB          333.4168      99.6374      87.521       2.053
             036OKFB          333.3688      99.6791      82.920       2.053
             037OKFB          333.4099      99.6717      77.322       2.053
             038OKFB          333.2870      99.6410      71.445       2.053
             039OKFB          333.2359      99.6379      68.190       2.053
             040OKFB          330.4990      99.6285      83.123       2.053
             041OKFB          332.5193      99.6172      61.308       2.053
             042OKFB          332.4357      99.5525      51.107       2.053
             043DECKEL        331.1063      99.5030      46.958       2.053
             044DECKEL        219.2556     118.8407       5.383       0.000
             045DECKEL        228.9664     119.1537       5.297       0.000
             046DECKEL        229.5365     114.5895       6.796       0.000
             200370055S       325.6034      95.6873      93.434       0.280
             200370052        113.2487      99.7430      40.150       0.300
             202300051        125.2052      98.6476      82.451       0.000
             047DECKEL        132.3519     108.6036      12.721       0.000
             048DECKEL        135.5833     120.9401       5.349       0.000
             049DECKEL        144.2889     149.9689       2.425       0.000
             050DECKEL        296.6472     167.8022       1.926       0.000
             051DECKEL        276.8200     140.5514       2.800       0.000
             052DECKEL        304.7172     122.9445       4.671       0.000
             053DECKEL        322.0687     108.9741      11.935       0.000
             054DECKEL        326.0464     105.4366      20.200       0.000
             055DECKEL        327.7578     104.3704      24.988       0.000
             056DECKEL        328.8276     103.1398      34.081       0.000
             057DECKEL        328.9229     102.8692      37.269       0.000
             058DECKEL        115.3454     104.1880      28.219       0.000
